daily,average,day
7346875,6934342,1
7370956,6959606,2
7394765,6982064,3
7394765,7000818,4
7396152,7016264,5
7431702,7031901,6
7510045,7048085,7
7659181,7066598,8
7761902,7086558,9
7897039,7109622,10
8040238,7135811,11
8040238,7162537,12
8207981,7194856,13
8331562,7232957,14
8402574,7273426,15
8391812,7317272,16
8270378,7360866,17
8065964,7402026,18
8065964,7446668,19
7840470,7486389,20
7648915,7519724,21
7494832,7549476,22
7249768,7572088,23
7098196,7587081,24
7098196,7602074,25
6934048,7608312,26
6793437,7609864,27
6658459,7601788,28
6548789,7585257,29
6548789,7563133,30
6535145,7536075,31
6593565,7510162,32
6658059,7485605,33
6759867,7464442,34
6863109,7446674,35
6946531,7430501,36
7004619,7413654,37
7087677,7394604,38
7087677,7372129,39
7165190,7347734,40
7165190,7318566,41
7245669,7292081,42
7305115,7261985,43
7395774,7230792,44
7395774,7197232,45
7436719,7165396,46
7499674,7139706,47
7472383,7119920,48
7472383,7100133,49
7341325,7083495,50
7240483,7069881,51
7113703,7057177,52
7071656,7051240,53
7045581,7049486,54
7000962,7046245,55
7000962,7048475,56
7028847,7056322,57
7096287,7070916,58
7144191,7090763,59
7144191,7110610,60
7218272,7133381,61
7313155,7157367,62
7357764,7180691,63
7404142,7202166,64
7404142,7220201,65
7407726,7235574,66
7407726,7249011,67
7366508,7258305,68
7358459,7267331,69
7358459,7273774,70
7341327,7279645,71
7421800,7285516,72
7509372,7292324,73
7556274,7297674,74
7662056,7306550,75
7754630,7317148,76
7796235,7327033,77
7796235,7337828,78
7831455,7349797,79
7816354,7365631,80
7816354,7384827,81
7824310,7408514,82
7706064,7429661,83
7685054,7450977,84
7697933,7474209,85
7697933,7497441,86
7803461,7523262,87
7949232,7551693,88
8020847,7580915,89
8030946,7610474,90
8030946,7637563,91
7957707,7659048,92
7802709,7673879,93
7802709,7687165,94
7631894,7694757,95
7548863,7699461,96
7591786,7705597,97
7773580,7719166,98
7999365,7740529,99
8218091,7769184,100
8445081,7805975,101
8640659,7846604,102
8801327,7889669,103
8919440,7935108,104
8980797,7979066,105
9027025,8021479,106
8982076,8061007,107
8944004,8099266,108
8938037,8136152,109
8878365,8171553,110
8818010,8204941,111
8818010,8238065,112
8679115,8270500,113
8490179,8297337,114
8225439,8314921,115
8016598,8325543,116
7839127,8326732,117
7669342,8317402,118
7669342,8305685,119
7546346,8289532,120
7506156,8272039,121
7521590,8257502,122
7521590,8248131,123
7499357,8238019,124
7543023,8235057,125
7569092,8235731,126
7618657,8236627,127
7705155,8234346,128
7763788,8226493,129
7763788,8211350,130
7806653,8190069,131
7897179,8165286,132
7967333,8137487,133
8048618,8108459,134
8225152,8083271,135
8394403,8062184,136
8578129,8048719,137
8536315,8035129,138
8575204,8023035,139
8584506,8013239,140
8632822,8007066,141
8688502,8002750,142
8760205,8005453,143
8906499,8019330,144
9036032,8046350,145
9159290,8084439,146
9296742,8133027,147
9396951,8190613,148
9444086,8249772,149
9350010,8309894,150
9424183,8373828,151
9442727,8437866,152
9460314,8502490,153
9495271,8569020,154
9526211,8635127,155
9526196,8700364,156
9474688,8762231,157
9490449,8821741,158
9448552,8877900,159
9405350,8932619,160
9390441,8985412,161
9320889,9032869,162
9284474,9076773,163
9177177,9114392,164
9034659,9141375,165
8865703,9157085,166
8726374,9162027,167
8579942,9163481,168
8462323,9159718,169
8312351,9150647,170
8124685,9133709,171
8124685,9114915,172
7927426,9087156,173
7749112,9048576,174
7632682,9001798,175
7587203,8949395,176
7568965,8891802,177
7501248,8828612,178
7359880,8759139,179
7261675,8689527,180
