daily,average,day
41470783,43272106,1
41425084,43143409,2
42576566,43081187,3
42576566,43048374,4
44454151,43103155,5
45839641,43214367,6
47419446,43386082,7
48553039,43575549,8
50321553,43808395,9
50321553,44015095,10
50671759,44227743,11
50671759,44431656,12
50041668,44605917,13
48431777,44727666,14
46071247,44770731,15
43772345,44753839,16
41584670,44674122,17
39560946,44546385,18
39116394,44412939,19
38873522,44278364,20
38530087,44132342,21
38493101,43989453,22
39871389,43893337,23
40569045,43823724,24
40569045,43754110,25
39952662,43668114,26
39156217,43555569,27
38335969,43425913,28
37076339,43266477,29
36484422,43093091,30
36321061,42921434,31
36646696,42762154,32
37551825,42594663,33
39026601,42476330,34
39876963,42323758,35
39926883,42126666,36
40923895,41910147,37
42787922,41717977,38
42787922,41466856,39
43424786,41236963,40
43424786,40995398,41
43070475,40742022,42
42518046,40491234,43
42448280,40291784,44
42360034,40168077,45
42360034,40121000,46
42372713,40147268,47
43021156,40262609,48
43021156,40392767,49
43970393,40562663,50
44302841,40755088,51
44302841,40948746,52
44546108,41104570,53
45533900,41270065,54
46350778,41462790,55
46350778,41676060,56
45752403,41895933,57
45230209,42125741,58
44873999,42385663,59
44873999,42665316,60
44609486,42941596,61
44349787,43198366,62
44225547,43420824,63
44035586,43587790,64
44035586,43726410,65
43930896,43859878,66
43930896,43960111,67
43851425,43995561,68
44716746,44059855,69
44716746,44102921,70
44893229,44151869,71
44903822,44212980,72
44928892,44293342,73
45121624,44382453,74
45314797,44480945,75
45314797,44579437,76
45486848,44683242,77
45486848,44765432,78
45321705,44842117,79
44988851,44876065,80
44750361,44890983,81
44431376,44895267,82
44442213,44891804,83
44325691,44851530,84
44093909,44776301,85
44093909,44701072,86
43870126,44638330,87
44518761,44614615,88
44591316,44605192,89
44696849,44599287,90
44696849,44602199,91
44688117,44613477,92
44666229,44628166,93
44666229,44649188,94
45956376,44713214,95
47644883,44837014,96
49014660,45006472,97
50925811,45242285,98
52608933,45505358,99
52987965,45781065,100
52780440,46043972,101
52266385,46289391,102
51932127,46522832,103
51337692,46730035,104
50437172,46900780,105
48587107,47009857,106
46918226,47057570,107
45230487,47049025,108
44103990,47008434,109
43437800,46956732,110
42909301,46895364,111
42631860,46835380,112
42398658,46767261,113
41923541,46687190,114
41620058,46604728,115
42052128,46536669,116
42989997,46507331,117
43537947,46474637,118
43537947,46439525,119
43811174,46410002,120
44584286,46406250,121
45886059,46446182,122
45886059,46486843,123
46551978,46549701,124
47278752,46593780,125
47960529,46604302,126
48615510,46590997,127
48954581,46525289,128
49414912,46418822,129
49414912,46299720,130
50014154,46207510,131
50270105,46140968,132
49836646,46071118,133
48789569,45986181,134
48133520,45909393,135
47481263,45872531,136
46910159,45872262,137
46235049,45905748,138
46022281,45969691,139
45673277,46044207,140
45484171,46130036,141
45484171,46225113,142
45489400,46328137,143
45693453,46453801,144
46738035,46624400,145
47425941,46803527,146
47490102,46953531,147
47376949,47081498,148
47335984,47208099,149
47335984,47325593,150
47822506,47433533,151
48350894,47515694,152
48651899,47607889,153
48888099,47685760,154
49005897,47743331,155
49062180,47780053,156
49135284,47797379,157
49396742,47812117,158
49626045,47819155,159
48891143,47801696,160
47698297,47724501,161
46314275,47592640,162
45054078,47433221,163
43911838,47270630,164
43438295,47114123,165
43161107,46970117,166
43397820,46853039,167
44389530,46791522,168
45412355,46771191,169
46089781,46785075,170
46655305,46824112,171
46655305,46863150,172
46386770,46893063,173
45558230,46888555,174
45104957,46834119,175
44707079,46743491,176
44421105,46641191,177
44519775,46545951,178
45011722,46468476,179
45567769,46409536,180
